rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N
India SWE Recruiting,5/7/2023,6,,,,IN_PROGRESS,9,1
Cloud Americas Recruiting,6/25/2023,,3,,,IN_PROGRESS,4,1
RSR EMEA SWE S09 Recruiting,5/28/2023,3,,,,IN_PROGRESS,8,1
India Cloud Recruiting,7/9/2023,,5,,,IN_PROGRESS,1,1
EMEA Intern Recruiting,3/12/2023,10,9,18,20,IN_PROGRESS,20,1
GBO Recruiting,4/16/2023,2,3,4,4,IN_PROGRESS,4,1
Cloud Americas Recruiting,7/30/2023,,4,,,IN_PROGRESS,1,2
India SWE Recruiting,6/25/2023,,,,,IN_PROGRESS,2,1
EMEA Intern Recruiting,6/25/2023,1,,1,3,IN_PROGRESS,3,1
India SWE Recruiting,6/26/2022,6,8,,,IN_PROGRESS,29,1
India SWE Recruiting,7/9/2023,6,,,,IN_PROGRESS,0,1
EMEA Intern Recruiting,3/12/2023,9,8,18,20,IN_PROGRESS,20,1
India SWE Recruiting,6/26/2022,3,5,,,IN_PROGRESS,17,1
RSR EMEA SWE S09 Recruiting,6/11/2023,2,,,,IN_PROGRESS,6,1
India SWE Recruiting,3/26/2023,,6,,,IN_PROGRESS,9,1
RSR EMEA SWE S09 Recruiting,5/21/2023,5,14,,,IN_PROGRESS,9,2
EMEA Intern Recruiting,2/19/2023,12,10,21,23,IN_PROGRESS,23,1
GBO Recruiting,7/30/2023,,1,2,2,IN_PROGRESS,2,1
India SWE Recruiting,11/6/2022,13,31,,,IN_PROGRESS,9,1
Cloud Americas Recruiting,7/30/2023,,,1,2,IN_PROGRESS,2,1
EMEA Cloud Tech Recruiting,5/21/2023,5,,,,IN_PROGRESS,7,1
Cloud Americas Recruiting,6/25/2023,,,3,4,IN_PROGRESS,4,1
India SWE Recruiting,2/19/2023,,5,,,IN_PROGRESS,19,1
GBO Recruiting,3/26/2023,,7,,,IN_PROGRESS,6,1
EMEA Intern Recruiting,6/25/2023,5,6,7,7,IN_PROGRESS,7,1
EMEA Intern Recruiting,3/12/2023,9,8,16,17,IN_PROGRESS,17,1
India SWE Recruiting,8/7/2022,,6,53,53,IN_PROGRESS,53,1
EMEA Cloud Tech Recruiting,7/30/2023,,4,,,IN_PROGRESS,2,1
India SWE Recruiting,5/15/2022,6,12,63,63,IN_PROGRESS,63,1
GBO Recruiting,7/23/2023,,2,,,IN_PROGRESS,1,1
India SWE Recruiting,9/4/2022,,12,43,44,IN_PROGRESS,44,1
Cloud Americas Recruiting,6/25/2023,,3,,,IN_PROGRESS,6,1
EMEA Intern Recruiting,3/26/2023,6,8,11,12,IN_PROGRESS,12,1
India SWE Recruiting,5/22/2022,6,13,,,IN_PROGRESS,26,1
India SWE Recruiting,11/6/2022,,30,,,IN_PROGRESS,24,1
GBO Recruiting,7/23/2023,,,0,1,IN_PROGRESS,1,1
India SWE Recruiting,7/23/2023,7,,,,IN_PROGRESS,2,1
RSR EMEA SWE S09 Recruiting,6/4/2023,5,11,,,IN_PROGRESS,7,1
India SWE Recruiting,5/7/2023,13,,,,IN_PROGRESS,14,1
RSR EMEA SWE S09 Recruiting,7/2/2023,5,,,,IN_PROGRESS,2,1
India SWE Recruiting,4/9/2023,20,,,,IN_PROGRESS,5,1
India SWE Recruiting,6/11/2023,,9,,,IN_PROGRESS,0,1
APAC Intern Recruiting,7/30/2023,,0,1,1,IN_PROGRESS,1,47
RSR EMEA SWE S09 Recruiting,6/25/2023,5,8,,,IN_PROGRESS,0,1
GBO Recruiting,8/6/2023,,,2,2,IN_PROGRESS,2,1
APAC Intern Recruiting,7/16/2023,,,,,IN_PROGRESS,2,1
GBO Recruiting,9/25/2022,,2,,,IN_PROGRESS,0,1
India SWE Recruiting,8/13/2023,,,,,IN_PROGRESS,0,1
India SWE Recruiting,5/21/2023,8,,,,IN_PROGRESS,0,1
India SWE Recruiting,5/28/2023,,,,,IN_PROGRESS,1,1
India SWE Recruiting,3/26/2023,4,11,17,17,IN_PROGRESS,17,1
EMEA Intern Recruiting,3/12/2023,6,8,14,14,IN_PROGRESS,14,1
India SWE Recruiting,4/23/2023,4,,,,IN_PROGRESS,1,1
India SWE Recruiting,6/11/2023,,,,,IN_PROGRESS,7,1
India SWE Recruiting,4/24/2022,,4,,,IN_PROGRESS,54,1
Cloud Americas Recruiting,7/2/2023,,3,5,5,IN_PROGRESS,5,1
RSR EMEA SWE S09 Recruiting,7/9/2023,1,7,,,IN_PROGRESS,2,2
Cloud Americas Recruiting,7/16/2023,,,4,4,IN_PROGRESS,4,1
Cloud Americas Recruiting,8/6/2023,,0,2,2,IN_PROGRESS,2,1
RSR EMEA SWE S09 Recruiting,8/13/2023,,,1,1,IN_PROGRESS,1,1
