,rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N,n_weeks,candidate_pid
0,India SWE Recruiting,2023-05-07,6.0,,,,IN_PROGRESS,9,1,[0 1 2 3 4 5 6 7 8 9],d78a2dd113ad241b
8,India SWE Recruiting,2023-06-25,,,,,IN_PROGRESS,2,1,[0 1 2],0d817806b4de6081
10,India SWE Recruiting,2022-06-26,6.0,8.0,,,IN_PROGRESS,29,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29]",06c7e8efd9b19987
11,India SWE Recruiting,2023-07-09,6.0,,,,IN_PROGRESS,0,1,[0],b186159ad3ac550a
13,India SWE Recruiting,2022-06-26,3.0,5.0,,,IN_PROGRESS,17,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],8b301fe03c0f77e2
15,India SWE Recruiting,2023-03-26,,6.0,,,IN_PROGRESS,9,1,[0 1 2 3 4 5 6 7 8 9],014077d8d0dc08cd
20,India SWE Recruiting,2022-11-06,13.0,31.0,,,IN_PROGRESS,9,1,[0 1 2 3 4 5 6 7 8 9],8e142eafc42f3559
24,India SWE Recruiting,2023-02-19,,5.0,,,IN_PROGRESS,19,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],b638cddcce165d78
28,India SWE Recruiting,2022-08-07,,6.0,53.0,53.0,IN_PROGRESS,53,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]",7d4a8b616db19fa8
30,India SWE Recruiting,2022-05-15,6.0,12.0,63.0,63.0,IN_PROGRESS,63,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]",fe60266bf2a7b913
32,India SWE Recruiting,2022-09-04,,12.0,43.0,44.0,IN_PROGRESS,44,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44]",f1efc42bd7f62236
